ID, NODETYPE, KORNAME, LATITUDE, LONGITUDE
1350011100,101,온천교,35.2178,129.0852
1350012000,101,온천시장,35.2222,129.0811
1380029500,101,석대고가교(남측),35.2161,129.1199
1380029700,101,석대고가교(북측),35.2217,129.1178
1400000100,101,제일명장맨션,35.2104,129.1051
1400000200,101,성모정형외과의원,35.2128,129.1071
1400000300,101,금사교차로,35.2142,129.1084
1400000400,101,금사우체국,35.2151,129.113
1400000500,101,금사고가교(남측),35.2157,129.1182
1400000600,101,서3동파출소,35.216,129.1157
1400000700,101,금사램프사거리,35.2169,129.1177
1400000800,101,금사고가교(북측),35.2187,129.1171
1400000900,101,소정천삼거리,35.2231,129.0875
1400001000,101,온천5호교(서측),35.2244,129.0883
1400001100,101,온천5호교(동측),35.2254,129.0888
1400001200,101,금사청년회관,35.2253,129.1178
1400001201,101,대동아트빌라,35.229,129.1175
1400001300,101,용마카센터,35.2259,129.0891
1400001500,101,부곡4로삼거리,35.2289,129.0908
1400001600,101,줄줄이감자탕,35.2299,129.0913
1400001700,101,부곡사거리,35.231,129.0914
1400001701,101,부곡파출소삼거리,35.2322,129.0916
1400001800,101,디지털LG금정점,35.2333,129.0917
1400001900,101,외환은행부곡동지점,35.2349,129.0919
1400002100,101,인제대학교동래백병원,35.2379,129.0923
1400002101,101,LG마트금정점,35.2394,129.0926
1400002200,104,오륜터널(남측),35.2389,129.111
1400002300,101,금양초교,35.2408,129.0928
1400002400,101,한울4로삼거리,35.2412,129.0928
1400002500,101,한울3로삼거리,35.2418,129.0929
1400002600,101,금정구청,35.2431,129.0931
1400002700,101,구서지하차도입구,35.2444,129.0932
1400002800,104,오륜터널(북측),35.2444,129.1087
1400002900,101,금정경찰서교차로,35.2462,129.0929
1400003000,108,구서교차로,35.2478,129.0946
1400003100,101,구서동지하철역입구,35.2487,129.0921
1400003200,108,구서IC,35.2491,129.0996
1400003300,101,구서교(남측),35.2496,129.0918
1400003500,108,구서IC,35.2533,129.0998
1400003900,101,두실역삼거리,35.258,129.0914
1400004000,101,남산동훼미리주유소,35.2603,129.0914
1400004300,101,농협남산지점,35.2664,129.0927
1400004500,101,엘리스빌,35.268,129.0928
1400004600,101,보명정비남산점,35.2696,129.0927
1400004700,101,남아농원,35.2713,129.1082
1400004800,101,청룡초등교앞,35.2727,129.0927
1400004900,101,양혜원치과의원,35.2738,129.0927
1400005000,101,범어사어귀교차로,35.2756,129.0927
1400005100,101,노포삼거리,35.2766,129.0929
1400005200,101,노포삼거리,35.2796,129.0933
1400005300,101,부산종합버스터미널,35.2886,129.0967
1400005400,101,부산경륜장입구,35.2914,129.0985
1400005500,101,한아름농장,35.2921,129.0992
1400005600,101,금정화훼도매단지,35.2981,129.1033
1400005900,101,청록원분재,35.2992,129.1039
1400006000,105,여락고가교,35.3052,129.1085
1400006100,101,서동사무소앞,35.2112,129.1043
1400006200,101,리벨루스부산성지아파트,35.2131,129.1
1400006300,101,봉산자동차정비,35.2132,129.1049
1400006400,101,세븐일레븐8,35.2139,129.1053
1400006500,101,대한자동차정비,35.2142,129.1032
1400006600,101,동서약국,35.2145,129.103
1400006700,101,서동사거리,35.2145,129.1056
1400006800,101,더좋은제일병원,35.2146,129.1052
1400006900,101,서동농협앞사거리,35.2149,129.1028
1400007000,101,GS5서동중앙점,35.215,129.1071
1400007100,101,태훈카센터,35.2155,129.1067
1400007200,101,일월운수,35.2157,129.109
1400007300,101,서동시장,35.2169,129.1023
1400007400,101,성민교회,35.2172,129.1095
1400007500,101,보성포장(주),35.2172,129.1152
1400007700,101,서동고개삼거리,35.2175,129.0955
1400007800,101,보러,35.218,129.1036
1400007900,101,금사초교,35.2182,129.1099
1400008000,101,동신교회,35.2182,129.096
1400008100,101,서곡초교,35.2185,129.1048
1400008200,101,금사동우편취급소,35.2194,129.1118
1400008300,101,서동시립도서관,35.2195,129.0991
1400008400,101,서동도서관삼거리,35.2202,129.099
1400008500,101,부곡시영아파트앞,35.2204,129.0948
1400008600,101,부금로삼거리,35.2213,129.0956
1400008700,101,동양부곡맨션,35.2221,129.0911
1400008800,101,부곡여자중학교,35.2224,129.0956
1400008900,101,부곡신동아APT삼거리,35.2224,129.0907
1400009000,101,부산정보관광고등학교,35.2232,129.0915
1400009100,101,동일고무밸트,35.2232,129.1138
1400009200,101,LG마트부곡점,35.2233,129.091
1400009300,101,부곡로삼거리,35.2236,129.0886
1400009400,101,부곡동시영아파트19동,35.2236,129.0979
1400009500,101,금사현대맨션,35.224,129.1126
1400009600,101,재우카라디움,35.2244,129.0819
1400009700,101,성산주유소,35.2246,129.0856
1400009800,101,부곡동주민센터,35.2246,129.092
1400009900,101,전명호내과의원,35.2247,129.0915
1400010000,101,금정아파트,35.225,129.0836
1400010100,101,식물원어귀사거리,35.2254,129.0822
1400010200,102,성진할인마트,35.2257,129.0924
1400010300,101,금강케슬차,35.2258,129.08
1400010400,101,새마을금고회동지점,35.2262,129.1172
1400010500,101,금강공원삼거리,35.2263,129.078
1400010600,101,LG할인마트,35.2271,129.1163
1400010700,101,금정초교,35.2273,129.0832
1400010800,101,신영카서비스,35.2274,129.0886
1400010900,101,신한은행장전동지점,35.2283,129.086
1400011000,101,현대아트빌,35.2283,129.0938
1400011100,101,부곡동우편취급소,35.2285,129.0922
1400011200,102,백양섬유,35.2285,129.1246
1400011300,101,부산대후문사거리,35.229,129.0845
